sentence_id	n	p	v	n_first_index	n_last_index	p_first_index	p_last_index	v_first_index	v_last_index	sentence_text
92873	ownership	up	gave	9	9	7	7	6	6	In 1909 the Krishna District Association gave up its ownership of the paper .
94165	position	up	give	31	31	28	28	27	27	In 1879 the Imperial Council elected him a Member of Parliament for the Cheb , Skaln a , and A s districts , which required him to give up his teaching position .
95101	teaching	up	gave	19	19	18	18	17	17	In 1880 , Evans established the monthly magazine Cyfail yr Aelwyd , and in 1887 , he gave up teaching altogether for a career in journalism , joining the staff of the South Wales Daily News in Cardiff .
95421	position	up	gave	7	7	4	4	3	3	In 1880 he gave up his academic position , then working on soil analysis for the Japanese government .
97356	life	up	gave	13	13	11	11	10	10	In 1880 , when Ernest was six , Henry Shackleton gave up his life as a landowner to study medicine at Trinity College , Dublin , moving his family into the city .
103869	position	up	gave	6	6	4	4	3	3	In 1883 he gave up this position to devote himself entirely to writing .
108708	property	up	give	16	16	14	14	13	13	In 1905 Oberthal was sold to a Slovenian consortium , who had to give up the property after a short time for financial reasons .
108757	career	up	gave	17	17	15	15	14	14	In 1905 , Pasini married a lawyer with the surname of Muzi and promptly gave up her career for the next six years .
108914	dictatorship	up	gave	23	23	22	22	21	21	In 1905 , Russia suffered a humiliating military defeat to Japan , which caused social unrest , and finally the Tsar gave up dictatorship in favour of the parliament -LRB- Dom -RRB- .
111393	post	up	gave	12	12	7	7	6	6	In 1906 , G o tzen gave up the governor ' s post due to ill health .
111717	professorship	up	gave	7	7	5	5	4	4	In 1906 , he gave up his professorship to devote his time to politics .
113044	training	up	gave	25	25	23	23	22	22	In 1906 , Orb a n moved to Paris , where he studied briefly at the Acad e mie Julian , but gave up academic training to study alone .
113282	pottery	up	gave	5	5	4	4	3	3	In 1906 she gave up pottery and began writing again .
114747	career	up	gave	18	18	16	16	15	15	In 1907 , Adair married Algernon Cuthell , an army Captain from West Yorkshire and gave up her career in competitive golf to raise two children .
115460	editorship	up	gave	7	7	5	5	4	4	In 1907 , Fyfe gave up the editorship of the Daily Mirror to become a reporter for another Harmsworth publication , the Daily Mail .
115721	career	up	gave	16	16	13	13	12	12	In 1907 he decided to commit himelf fully to the venture , gave up his theatrical career became a full-time mission staff member .
115798	journalism	up	gave	5	5	4	4	3	3	In 1907 he gave up journalism and became a full-time novelist .
116082	teaching	up	give	22	22	21	21	20	20	In 1907 he published a novel , Pip ; its success and that of several more novels enabled him to give up teaching in 1912 to be a full-time author .
130783	nationality	up	gave	8	8	5	5	4	4	In 1917 , Kahn gave up his British nationality and became a United States citizen .
131284	trademark	up	gave	7	7	4	4	3	3	In 1917 Sennett gave up the Keystone trademark and organized his own company .
131285	trademark	up	gave	7	7	4	4	3	3	In 1917 Sennett gave up the Keystone trademark and organized his own company , Mack Sennett Comedies Corporation .
132717	status	up	gave	25	25	22	22	21	21	In 1917 , when British citizens were required to relinquish all German titles , the Gleichen family retained their name but gave up their comital status , instead taking the precedence of children of a British marquess , allowing them to be styled Lord and Lady .
135380	career	up	gave	24	24	22	22	21	21	In 1918 , Jane Wolfe began corresponding with the English author and occultist Aleister Crowley , and two years later she gave up her career in Hollywood to join Crowley at his `` Abbey of Thelema '' at Cefal u , Sicily , living there from 1920 until it closed in 1923 .
136008	position	up	gave	8	8	5	5	4	4	In 1918 , she gave up a paid position as zoology assistant at Columbia University to work as a volunteer for the Pacific Biological Station at Nanaimo in British Columbia Canada .
137624	practice	up	gave	13	13	9	9	8	8	In 1919 Abdul Majeed Khwaja -LSB- 2 -RSB- gave up his flourishing legal practice at the Patna High Court in response to Mahatma Gandhi call for non-cooperation with the colonial British Government .
139197	career	up	gave	7	7	4	4	3	3	In 1919 he gave up his teaching career to become a full-time political activist .
140095	position	up	give	24	24	22	22	21	21	In 1919 he was made assistant member and two years later regular member of the supervisory board , but had to give up this position in 1929 , when the Bankverein was merged with the Deutsche Bank .
142785	job	up	gave	7	7	5	5	4	4	In 1924 , Bhuyan gave up government job and joined Cinamara Tea Estate as Assistant Manager .
148580	management	up	gave	8	8	5	5	4	4	In 1925 , Eastman gave up his daily management of Kodak to become treasurer .
153507	home	up	give	11	11	9	9	8	8	In 1919 , the Milford Havens had to give up their home , Kent House , for financial reasons .
156093	job	up	gave	7	7	5	5	4	4	In 1920 , he gave up his job as a miner and became a youth secretary at the Christian Mineworkers ' Trade Association -LRB- Gewerkverein Christlicher Bergarbeiter -RRB- in Oberhausen .
158238	presidency	up	gave	8	8	5	5	4	4	In 1920 , Rickey gave up the team presidency to the Cards ' new majority owner , Sam Breadon .
161036	education	up	gave	23	23	22	22	21	21	In 1921 , at the age of 17 , Sri Manthena Venkata Raju , walked out of the National College and gave up education to participate in the Freedom Struggle of India .
161672	commission	up	gave	15	15	12	12	11	11	In 1921 , having reached the rank of major , he gave up his military commission and settled at his mansion in Neuhardenberg .
162371	job	up	give	45	45	42	42	41	41	In 1921 he received a commission from Harper ' s Bazaar to do a portrait of the Broadway actress Florence Reed ; soon after he was having photographs published each month in Harper ' s Bazaar , and was able to give up his engraving job .
163381	claim	up	gave	8	8	6	6	5	5	In 1921 , Martanda formally gave up his claim to the throne of Pudukkottai and nominated his brother Raghunatha Pallavarayar to rule the state in his absence .
163696	professorship	up	give	19	19	17	17	16	16	In 1921 , Rehmke was forced by local Nazi-groups -LRB- among them student organisations -RRB- to give up his professorship at Greifwald .
164902	seat	up	give	9	9	6	6	5	5	In 1912 James decided to give up his House seat to seek election to the United States Senate .
165421	village	up	gave	27	27	11	11	10	10	In 1912 , Samuel married a local Rajput lass , gave up his life of poverty , purchased a chunk of farmland near his wife ' s village and settled there .
171950	business	up	gave	16	16	15	15	14	14	In 1914 Alfred Ostler bought the mill and run her until 1942 when he gave up business and closed her down .
173807	directorship	up	giving	16	16	14	14	13	13	In 1914 he was made director of the Archaeological Museum of Florence , giving up his directorship of the Athens school .
174681	seat	up	give	12	12	9	9	8	8	In 1914 , President Wilson persuaded him to give up his House seat and run instead for the United States Senate .
174783	contest	up	give	31	31	29	29	28	28	In 1914 Salm achieved his biggest achievement in the French Championships by advancing to the All Comers ' final of the tournament , where he was forced to give up the contest to Jean Samazeuilh at the fifth set due to fatigue .
176705	work	up	gave	25	25	23	23	22	22	In 1926 , having made friends with important figures in the Negro Awakening -LRB- which became the Harlem Renaissance -RRB- , Larsen gave up her work as a librarian .
180934	stint	up	giving	11	11	5	5	4	4	In 1927 , after giving up university studies and a brief stint as an industrial worker , he became a forester .
181369	idea	up	gave	12	12	10	10	9	9	In 1927 Beddoes was spotted by Dick Tubb and gave up the idea of a career in art to tour as juvenile lead in The Bird ' s Nest .
181790	wood	up	gave	7	7	4	4	3	3	In 1927 Flannagan gave up painting and wood carving to concentrate on stone carving .
183382	chair	up	gave	7	7	5	5	4	4	In 1927 , Huxley gave up his chair of Zoology at King ' s College , London to concentrate on the work .
187917	seat	up	gave	6	6	4	4	3	3	In 1921 Wigan gave up his seat and retired , later serving as High Sheriff of Essex in 1930 .
189460	teaching	up	gave	6	6	5	5	4	4	In 1922 , he gave up teaching and joined the Akali agitation for Gurudwara reform .
191385	work	up	gave	17	17	16	16	15	15	In 1922 she married John Stanley Hill , and as usual for married women , gave up work to look after the home .
192050	task	up	gave	7	7	5	5	4	4	In 1922 the GAA gave up the task of promoting athletics to the National Athletic and Cycling Association .
193035	administration	up	gave	11	11	9	9	8	8	In 1922 , when Martanda Bhairava Tondaiman formally gave up the administration of the state and agree to remain as `` Raja '' in title only , he appointed Raghunatha Pallavarayar to rule the state .
197300	interest	up	gave	7	7	5	5	4	4	In 1923 the M-K-T gave up its interest in the line and for two years was operated under receivership .
199802	sculpture	up	gave	6	6	5	5	4	4	In 1915 , he gave up sculpture in order to dedicate himself to painting .
202323	scheme	up	gave	10	10	7	7	6	6	In 1915 the White Star Line gave up their training scheme due to the war and sold the Mersey to Norwegian owners .
202481	charter	up	give	12	12	10	10	9	9	In 1915 , voters in St Johns decided to give up their charter and merge with the City of Portland , its neighbor since the 1891 annexation of Albina .
202751	fellowship	up	giving	13	13	11	11	10	10	In 1916 , after only completing her freshman year and giving up a fellowship to Radcliffe , she left the university to marry Curt Alexander , a corporal in the U .
203809	run	up	gave	11	11	4	4	3	3	In 1916 he gave up Rogers Hornsby ' s first home run .
204805	teaching	up	giving	16	16	15	15	14	14	In 1916 , Kawai chose to turn her attention full-time to the YWCA , giving up teaching .
205826	post	up	gave	8	8	5	5	4	4	In 1916 the family gave up the trading post to help in the war effort .
206089	point	up	giving	15	15	12	12	11	11	In 1916 , the Panthers beat several national powers while not giving up a single point .
206546	work	up	gave	7	7	5	5	4	4	In 1916 , Weizmann gave up her work as a pediatrician when she joined her husband upon his appointment as the scientific adviser in chemistry to the British Admiralty during World War I .
208025	practice	up	gave	7	7	5	5	4	4	In 1917 , he gave up medical practice .
208896	alcohol	up	gave	13	13	12	12	11	11	In 1928 , at the age of 29 , she suddenly gave up alcohol completely , but died later the same year .
211423	moonshining	up	gave	12	12	11	11	10	10	In 1928 , in fear of legal consequences , he gave up moonshining and opened a number of operations .
211842	practice	up	gave	8	8	5	5	4	4	In 1928 , Menzies gave up his law practice to enter state parliament as a member of the Victorian Legislative Council from East Yarra Province , representing the Nationalist Party of Australia .
212953	manufacture	up	give	10	10	8	8	7	7	In 1928 , the company decided to give up radio manufacture and sold the factory and remaining components to another manufacturer .
212990	power	up	give	15	15	14	14	13	13	In 1928 the conservatives won in the polls and he was forced to give up power to Arvid Lindman .
214460	study	up	gave	11	11	8	8	7	7	In 1929 , aged 20 , she gave up her musical study to help her mother in the family business .
216051	position	up	gave	14	14	12	12	11	11	In 1929 he married for the second time and in 1934 gave up his position in Essen , returning once more to Berlin where he conducted the Berlin Radio Orchestra , as well as that of Hamburg .
217205	photography	up	gave	7	7	6	6	5	5	In 1929 K a sebier gave up photography altogether and liquidated the contents of her studio .
218371	season	up	giving	26	26	21	21	20	20	In 1929 , the Bobcats moved into brand new Ohio Stadium , and celebrated with a 9-0 record , while giving up just 7 points all season -LRB- a lone touchdown to Ohio Wesleyan -RRB- .
220192	work	up	give	11	11	9	9	8	8	In 1910 , failing health compelled Collins to give up her work in the field with the Sioux .
220710	career	up	gave	8	8	5	5	4	4	In 1910 , he gave up his stage career .
220712	teaching	up	gave	5	5	4	4	3	3	In 1910 he gave up teaching and became a railway postal clerk based in Oberlin , Ohio .
221108	career	up	gave	19	19	16	16	15	15	In 1910 Hering married another long time Saint-Gaudens ' assistant , Elsie Ward , who gave up her independent career as a sculptor , to serve as her husband ' s assistant .
222578	music	up	giving	19	19	18	18	17	17	In 1910 Smyth joined the Women ' s Social and Political Union , a suffrage organization , giving up music for two years to devote herself to the cause .
226884	education	up	give	10	10	8	8	7	7	In 1911 , Peyami Safa had to give up his education at Vefa High School , and began working in a printing house and later in the Ministry of Post .
230171	position	up	gave	6	6	4	4	3	3	In 1912 he gave up his position in the DMV .
239390	post	up	gave	10	10	5	5	4	4	In 1946 , Gottwald gave up the secretary-general ' s post to Rudolf Sl a nsk y and was elected to the new position of party chairman .
240551	career	up	gave	12	12	9	9	8	8	In 1946 , he returned to Paris and gave up his military career to pursue his activities with the Communist party .
241682	game	up	giving	23	23	21	21	20	20	In 1946 , Jackson moved to Chicago to play in the rival National Girls Baseball League during five seasons before giving up the game .
243542	power	up	gave	10	10	9	9	8	8	In 1943 , Baldomir voluntarily held elections and gave up power , but the continued dominance of the Colorados was insured .
244484	ministry	up	gave	7	7	4	4	3	3	In 1943 he gave up the local ministry to assume a position as a director of the committee ' s Philadelphia office .
248777	photography	up	giving	16	16	15	15	14	14	In 1944 , at the age of 76 , she finally said she was giving up photography altogether due to `` my silent ears and my dimming vision '' .
253085	position	up	gave	7	7	5	5	4	4	In 1948 , Avery gave up his position as president of Murry , but continued as Chairman .
253560	career	up	gave	26	26	24	24	23	23	In 1948 deGarthe and his wife Agnes bought a summer home in Peggy ' s Cove , Nova Scotia and in 1955 deGarthe gave up his career in the city and moved to Peggy ' s Cove permanently .
254485	post	up	gave	7	7	4	4	3	3	In 1948 he gave up his teaching post and went to India to meet Sivananda .
259298	name	up	give	22	22	20	20	19	19	In 1948 they readopted their traditional identity as Adlershofer BC before being directed by authorities in November 1953 to give up the name and play as Sportgemeinschaft Adlershofer .
262423	dream	up	give	19	19	17	17	16	16	In 1949 he tried out for the Philadelphia Athletics , but his father convinced him to give up his dream and come home , as his mother was losing a battle with cancer .
269502	career	up	gave	8	8	5	5	4	4	In 1947 , he gave up a promising career in an elite government ministry to run for Parliament with the belief that in its postwar remorse , Japan was in danger of discarding its traditional values -LRB- according to a 2010 profile -RRB- .
269503	mining	up	gave	5	5	4	4	3	3	In 1947 he gave up mining to become a part-owner and manager of a Gilbert saw-mill .
271593	job	up	gave	7	7	5	5	4	4	In 1947 , McKay gave up his job as a reporter for the Baltimore Sun newspapers to join that same organization ' s new TV station WMAR-TV .
275274	work	up	gave	7	7	5	5	4	4	In 1974 her husband gave up his work as an architect , as her salary was bigger than his .
281571	Autopop	up	give	12	12	7	7	6	6	In 1974 , Vorilhon decided to give up his automobile magazine , Autopop .
286220	opportunity	up	gave	7	7	5	5	4	4	In 1972 , he gave up an opportunity to study medicine in the US and joined the armed Tibetan resistance force , who were then operating from Mustang , Nepal .
290810	farming	up	gave	9	9	8	8	7	7	In 1972 , the 25 year-old Carrier gave up farming and took a job as an offshore oil worker .
295575	tenure	up	gave	6	6	5	5	4	4	In 1973 , Detre gave up tenure at Yale to lead the Western Psychiatric Institute and Clinic and become Chair of the Department of Psychiatry at the University of Pittsburgh Medical Center .
295578	career	up	gave	8	8	5	5	4	4	In 1973 De Vries gave up his scientific career to become a member of the Dutch House of Representatives .
296651	run	up	giving	24	24	22	22	21	21	In 1973 , he entered the game in the 1st inning against the Tigers in Detroit , and pitched 13 innings giving up one run and winning game 2 to 1 .
296742	life	up	gave	8	8	5	5	4	4	In 1973 , he gave up a ready-made life of an abbot in the well-established Bellanwila Temple located near Colombo in Sri Lanka in order to propagate the Buddha ' s teachings in Singapore at the invitation of Venerable M .
296743	firm	up	gave	18	18	4	4	3	3	In 1973 he gave up his full-time job at the Helsinki office of McCann-Erickson , an international advertising firm .
301769	title	up	gave	8	8	6	6	5	5	In 1986 , Bob Galvin gave up the title of CEO while remaining chairman of the board .
301957	alcohol	up	gives	11	11	10	10	9	9	In 1986 , Bush becomes a born-again Christian , gives up alcohol , and somewhat mends his relationship with his father .
303990	violence	up	give	33	33	31	31	30	30	In 1986 , he embarked on a door-to-door campaign in the Majha region , meeting the families of the militants and asking for their help in persuading the militants to give up the violence .
304142	studio	up	gave	9	9	5	5	4	4	In 1986 , he gave up his New York studio and moved back to London .
305272	agitation	up	gave	21	21	19	19	18	18	In 1986 , he undertook a fast unto death to seek tax benefits for the film industry and gave up his agitation after Shiv Sena chief Bal Thackeray intervened .
306833	violence	up	give	36	36	34	34	33	33	In 1986 , Jiwan Singh had undertaken a door to door campaign in the Majha region , meeting the families of the militants and asking for their help in convincing the militants to give up the violence .
309960	position	up	gave	19	19	17	17	16	16	In 1982 he was promoted to team captain after just 13 VFL games , although he gave up this position a year later to club game record holder Ian Nankervis .
311796	seat	up	gave	14	14	12	12	11	11	In 1982 , one-term Republican New York State Assemblyman Dean Skelos gave up his seat to challenge Berman .
313671	crucifix	up	giving	26	26	23	23	22	22	In 1982 , the Cathedral Provost of the time , Very Revd Donald Howard , declared in a sermon the cathedral was giving up the large crucifix and four of the six candles on the High Altar for Lent .
319848	position	up	gave	8	8	5	5	4	4	In 1983 , he gave up his pastoring position and began taking construction jobs to make ends meet .
326680	focus	up	give	18	18	14	14	13	13	In 1983 , the then 30-year old Liu announced unexpectedly that he would give up the limelight and focus on developing his career backstage .
328427	post	up	gave	18	18	5	5	4	4	In 1987 , he gave up these duties to become head coach of the football team , a post he held for 17 years before moving back to coaching track and field full time .
335958	seat	up	gave	9	9	7	7	6	6	In 1987 the PPR MEP Verbeek gave up his seat for the CPN candidate Van Dijk .
340761	position	up	gave	7	7	5	5	4	4	In 1956 , he gave up his position as head of microbiology at NYU , spent several years at the University of Pennsylvania , and then returned in 1960 to NYU as a professor of medicine .
341653	district	up	give	46	46	31	31	30	30	In 1956 , he was awarded the Lorne Pierce Medal by the Royal Society of Canada , but by then he had lapsed into the mysterious silence that saw him give up writing altogether and become a recluse in his home in Montreal ' s Outremont district , until his death in 1972 .
347346	right	up	gave	7	7	5	5	4	4	In 1957 DSB formally gave up its right to issue notes to the newly-formed Central Bank of Suriname .
347355	building	up	gave	13	13	11	11	10	10	In 1957 , due to technical problems the authorities totally gave up the building and the state government even forbad to mention in mass-media about Metro .
350327	point	up	giving	22	22	19	19	18	18	In 1940 , they not only went undefeated , but outscored their opponents 299 to 12 , not giving up a single point until the final quarter of the final game of the year .
352490	post	up	gave	6	6	4	4	3	3	In 1941 he gave up this post and between 1943 and the end of World War II he served as an Inspector of Military Training of Polish Units in Great Britain .
356218	photography	up	gave	5	5	4	4	3	3	In 1941 Ueda gave up photography , not wanting to become a military photographer .
358230	career	up	gave	7	7	4	4	3	3	In 1942 he gave up his solo career with symphony orchestras and took charge of wind ensembles and brass bands with the BBC .
360178	job	up	giving	16	16	14	14	13	13	In 1942 , Rosamund Hornby joined the Women ' s Voluntary Services , giving up her job as assistant matron of the girls ' school which had been evacuated in 1939 to Chantmarle , the family home in Dorset .
360589	practice	up	gave	8	8	5	5	4	4	In 1942 , Tarkunde gave up his legal practice to become a full-time member of the Radical Democratic Party and was elected General Secretary of the RDP in 1944 , thereby migrating to Delhi .
363528	office	up	gave	36	36	34	34	33	33	In 1937 , the two offices were combined into the office of President-Regent -LRB- Riigihoidja -RRB- , but the situation was again changed with the 1938 constitution , when Konstantin P a ts gave up the office of Prime Minister to a new officeholder .
365488	photography	up	gave	5	5	4	4	3	3	In 1938 Guros gave up photography and dedicated himself to painting .
366890	practice	up	give	11	11	8	8	7	7	In 1938 , he was forced to give up his law practice and was imprisoned in the Buchenwald concentration camp .
367212	career	up	gave	12	12	9	9	8	8	In 1938 , Ho ' opi ' i gave up his secular career to join the evangelist Aimee Semple McPherson , writing and performing songs for her tours .
368826	project	up	give	13	13	11	11	10	10	In 1938 , Theatre labor union problems forced him to give up the project .
371757	post	up	gave	26	26	4	4	3	3	In 1939 Elton gave up his teaching fellowship at Queen ' s College and the same year he became secretary of the Rhodes Trust , a post he held until 1959 .
372030	editorship	up	gave	6	6	4	4	3	3	In 1939 Hanson gave up the editorship to Carnell , who retitled the fanzine New Worlds and restarted the numbering at volume 1 number 1 ; the first issue under Carnell ' s control was dated March 1939 .
372457	journalism	up	gave	6	6	5	5	4	4	In 1939 , he gave up journalism and served for the Chinese Ministry of Information , as an advisor .
374794	schooling	up	give	13	13	12	12	11	11	In 1939 , seeing that many academically excellent students hacl to give up schooling , because of poverty , he established the Shuping Scholarship Scheme in Memory of his father whose last words to his son was that if and when you are successful , you should `` return to the society what you have gained from the it '' .
374870	teaching	up	gave	6	6	5	5	4	4	In 1939 , she gave up teaching and got married .
376981	post	up	gave	58	58	56	56	55	55	In 1939 , when the Japanese invited him to be the leader of the puppet government in North China , Wu made a speech saying that he was willing to become the leader of North China again on behalf of the New Order in Asia , if every Japanese soldier on China ' s soil gave up his post and went back to Japan .
381371	teaching	up	gave	5	5	4	4	3	3	In 1940 Santha gave up teaching and travelled to Shantiniketan to study music .
383631	post	up	gave	31	31	39	39	38	38	In 1966 , the university statutes were changed again to permit greater political activity on the campus and Ben i tez was effectively kicked upstairs to the new and less powerful post of university president , which he gave up in 1971 due to political pressures under the first non-PDP administration since the 1930s .
386142	career	up	gave	20	20	17	17	16	16	In 1967 Elizabeth Gass inherited from an uncle the family ' s ancestral seat , and gave up her teaching career to concentrate on managing the estate which came with it .
389358	career	up	give	9	9	7	7	6	6	In 1967 , Koudelka decided to give up his career in engineering for full-time work as a photographer .
390622	career	up	gave	27	27	24	24	23	23	In 1967 she inherited from an uncle her family ' s ancestral seat , Fairfield House , near Stogursey , Somerset , and gave up her teaching career to concentrate on managing the estate which came with it .
398271	control	up	give	13	13	10	10	9	9	In 1968 , Hock convinced Bank of America to give up ownership and control of their BankAmericard credit card licensing program .
398415	seat	up	gave	18	18	15	15	14	14	In 1968 , in what turned out to be a real blunder , Miller gave up his House seat to challenge Mouton for a full term in the state senate .
399313	practice	up	gave	7	7	4	4	3	3	In 1968 Morgentaler gave up his family practice and began performing abortions in his private clinic .
399459	Chairmanship	up	gave	8	8	6	6	5	5	In 1968 Norman Thornton finally gave up his Chairmanship of the company and Tony and Stanley became Joint Managing Directors .
399860	job	up	give	11	11	8	8	7	7	In 1968 , Rees was able to give up his teaching job and with the aid of private funding and Arts Council funding relocated the gallery to Queen Square , then to E Shed , the current home of the Watershed Media Centre .
400743	job	up	gave	7	7	5	5	4	4	In 1968 , Tarmey gave up his job in the building industry to work as a nightclub singer and entertainer .
406018	career	up	gave	14	14	11	11	10	10	In 1964 Markham married Martin Rooney in Sydney , and gave up her criminal career .
411493	job	up	gave	11	11	9	9	8	8	In 1965 , E ve ' s husband gave up his job in the U .
414394	patent	up	gave	16	16	14	14	13	13	In 1965 Lange finally added Henke-like buckles to his boots when that company gave up the patent .
414463	laboratory	up	gave	7	7	5	5	4	4	In 1965 , Lindsley gave up the laboratory and moved into special education teacher training at the University of Kansas .
417249	area	up	gave	21	21	17	17	16	16	In 1965 there was an exchange of territories between Saudi Arabia and Jordan in which Jordan gave up a relatively large area of inland desert in return for a small piece of seashore near Aqaba .
