sentence_id	n	v	v2	n_first_index	n_last_index	v_first_index	v_last_index	v2_first_index	v2_last_index	sentence_text
11219007	sound	stand	can	16	16	14	14	12	12	He uses weapons based on soda bottles and barrels , but he can not stand the sound of children .
11286575	everyone	stand	ca	15	15	14	14	12	12	Her exit storyline was revealed saying , '' She leaves because she ca not stand everyone knowing what she did in order to persuade Dennis not to leave her , '' an insider told the newspaper .
11305141	test	stand	can	34	34	32	32	31	31	Here for the first time since the days of our great colonial builders - - Bulfinch , Jefferson , and McIntire - - a man creates a home for Americans that can stand the test of international comparison .
11330382	world	stand	ca	23	23	20	20	18	18	He resolves to stop taking any drugs and confides to his friend , Professor Trottelreiner , that he ca not stand this new world .
11331279	use	stand	ca	32	32	30	30	28	28	He responded with a short tirade on Chacor ' s user talk page , asserting that he `` is not breaking the law '' and stating that he ca not stand fair use -LRB- which is what a short blurb at the bottom of his column of userboxes states -RRB- .
11437577	accent	stand	can	7	7	11	11	9	9	As for not associating with people whose accent you can not stand , this is probably not the best idea .
11482273	light	stand	can	5	5	4	4	2	2	As he can not stand light , his ultimate plan is to plunge the city into eternal darkness .
11523883	test	stand	can	21	21	19	19	17	17	Any method which closes the door to all forgiveness , and to any hope of redemption , can not stand the test of our faith .
11576688	corruption	stand	can	29	29	27	27	25	25	Aravind -LRB- Arun -RRB- Vivek -LRB- Bharath -RRB- , Eshwar -LRB- Arjun Bose -RRB- and Rafeek -LRB- Padma Kumar -RRB- are four angry men who can not stand the corruption in the society .
11631393	nature	stand	can	9	9	6	6	5	5	ARTAmong the main attractions , can stand out its nature surround and its historic monuments as the cross of the Rollo from 16th century and ruled make by Felipe II ; the Fontanilla with an early Gothic Christ from 1339 ; or the church fron 14th century with its belfry from 18th century .
11720907	feel	stand	can	21	21	19	19	17	17	Although she can only inflict physical damage with her touch -LRB- due to the fact that she can not stand the feel of metal and is , therefore , unable to utilize any sort of weapons -RRB- , she can also kill with a kiss .
11782694	system	stand	can	12	12	9	9	7	7	But I am a stupid American and can not stand the Metric system .
11784489	series	stand	can	16	16	23	23	21	21	But I believe that enough -LRB- mostly offline -RRB- text has been written about Star Trek series that individual episode articles can likely stand on their own .
11877241	test	stand	can	31	31	29	29	28	28	But when the faculty of wisdom has scrubbed it clean until this condition has totally disintegrated , the true citta , the true Dhamma , the one that can stand the test , will not disintegrate and disappear along with it .
11919961	attitude	stand	ca	13	13	10	10	8	8	But while there are many times the teacher ca not stand his arrogant attitude , N u b e consistently finds a way to help him whenever he finds himself caught in a y o kai situation .
11955213	pain	stand	ca	10	10	8	8	6	6	But then he cries because he ca not stand the pain of killing a man .
11967951	harassment	stand	ca	10	10	4	4	2	2	But I ca not stand the constant -LRB- basically -RRB- harassment , nit picking , and having my every move questioned by this one editor !
12014252	Rain	Stand	Can	23	23	20	20	19	19	By 1976 he had already performed as a drummer or percussionist on a dozens of albums , including I Can Stand a Little Rain by Joe Cocker , 1990 and A Song for You by The Temptations , It ' s My Pleasure by Billy Preston , and Black and Blue by The Rolling Stones .
12137612	lot	stand	can	20	20	18	18	16	16	Because of the nature of the fibers , they have a very high melting point and can therefore stand a lot of slipping and heat , however , the heat tolerance of Kevlar is much higher than that of the actual drum that it is clamping .
12153267	thought	stand	ca	6	6	4	4	2	2	Because Yogi ca not stand the thought of being cooped up in a zoo for the rest of his life , he hatches an elaborate escape plan .
12187679	sun	stand	can	6	6	4	4	3	3	But most people can stand the sun for at least 10 minutes .
12197503	thought	stand	can	7	7	5	5	3	3	But now we can not stand the thought of slaughterhouses .
12209618	progress	stand	ca	7	7	5	5	3	3	But jealous villagers ca not stand his progress .
12241166	idea	stand	can	13	13	11	11	9	9	But interestingly enough , it seems that you simply can not stand the idea that I might disagree with you anywhere and simply have to go on and on interjecting arguments to every point I raise everywhere .
12248869	separation	stand	can	17	17	15	15	13	13	But one day she asks Jay to leave her and go as she can not stand the separation from him if their relationship develops any further .
12252264	idea	stand	can	6	6	4	4	2	2	But Opinoso can not stand the idea that other people edit `` his '' articles , so he reverses correct information .
12398652	family	stand	can	29	29	27	27	25	25	Brooks , who called David Mirkin and pitched the idea as traveling to the future and Lisa meeting the perfect guy , who in turn can not stand her family .
12448040	Myself	Stand	Ca	7	7	6	6	4	4	Brown re-recorded `` I Ca not Stand Myself -LRB- When You Touch Me -RRB- '' in 1974 for album Hell under the title `` I Ca not Stand It ' 76 ' '' , James Chance and the Contortions covered the song on the 1978 No Wave compilation album No New York .
12507339	way	stand	can	16	16	5	5	3	3	Bucky Berkshire actually can not stand Hamilton ' s antics , or his sexual but successful way of motivating the cheerleaders .
12560037	watch	stand	can	10	10	8	8	5	5	If you become ill and can no longer stand your watch , notify the petty officer of the watch and he or she will provide you a proper relief .
12565657	policy	stand	can	6	6	4	4	2	2	If you can not stand wiki policy , there is a huge internet out there in which you can post your beliefs and opinions to your hearts content .
12567078	heat	stand	can	5	5	3	3	2	2	If you can stand the heat , you could just let it overheat - I read somewhere that old thinkpads are surprisingly good at operating in extreme heat .
12567079	laughter	stand	can	5	5	3	3	2	2	If you can stand the laughter .
12568022	heat	stand	ca	6	6	4	4	2	2	If you ca not stand the heat , do not start fires .
12568023	heat	stand	ca	6	6	4	4	2	2	If you ca not stand the heat , get out of the kitchen .
12568024	heat	stand	ca	6	6	4	4	2	2	If you ca not stand the heat , get out of the kitchenSorry if I ' ve been adding too many , I ' m new to this , but it ' s fun !
12568026	heat	stand	ca	6	6	4	4	2	2	If you ca not stand the heat , stay out of the kitchen .
12568027	heat	stand	ca	6	6	4	4	2	2	If you ca not stand the heat , stay out of your kitchen ; if you ca not stand being dressed , get out of your pants .
12568028	music	stand	ca	6	6	4	4	2	2	If you ca not stand the music there ' s some nice pics .
12568029	sound	stand	ca	6	6	4	4	2	2	If you ca not stand the sound of breaking glass , stop throwing stones at glass houses .
12630054	way	stand	can	17	17	15	15	13	13	I know absolutely nothing about the subject , but I know the article can not stand the way it is .
12729401	scrutiny	stand	can	33	33	32	32	31	31	If you are feeling angry about me sticking to a point and you having to repeat yourself then its because you have not been able to give any convincing arguments that can stand scrutiny of common sense , let alone Wikipedia Policy , and if I have to say this a thousand times in this AfD than I will say it .
12859385	Wikilawyering	stand	ca	12	12	11	11	9	9	I have nothing personal against GoRight , but I ca not stand Wikilawyering and I think he ' s had enough chances to change his ways .
12909726	bar	stand	ca	22	22	19	19	17	17	I have mixed feelings about the new appearance and layout of the site , but I simply ca not stand the search bar being in the upper right corner .
13002312	way	stand	can	14	14	12	12	10	10	I ' m tired of reverting , but the article can not stand the way it is .
13154312	censorship	stand	ca	13	13	12	12	10	10	I ' m sorry to disappoint you , but people ca not stand censorship .
13174684	skin	stand	ca	13	13	10	10	8	8	I ' m one of those weirdos who ca not stand the Vector skin and kept Monobook .
13190184	treatment	stand	ca	15	15	13	13	11	11	Imitators of our act do not last long , because they ca not stand the treatment .
13218442	test	stand	can	19	19	17	17	16	16	I learned about Wikipedia , will go get myself established and return when my google rank can stand the test of relevancy .
13479389	weather	stand	can	3	3	2	2	1	1	Illawarras can stand weather exceeding 40 degrees Celsius and below 0 degrees Celsius .
13502644	gentleman	stand	can	6	6	4	4	2	2	I just can not stand this gentleman and his shallow way of explaining history , therefore I will refrain from editing his bio , as my edits would be too biased .
13565667	injustice	stand	can	19	19	18	18	16	16	I ' ll take this as far as arbitration if these two users persist - I can not stand injustice on WP when legitimate sources are used .
13899261	inch	stand	can	9	9	7	7	6	6	In other words , the player can stand an inch behind a Claymore and not be injured .
14174668	style	stand	can	30	30	27	27	25	25	In seventeenth century Paris , poet and supreme swordsman Cyrano de Bergerac -LRB- Jos e Ferrer -RRB- stops a play from being shown because he can not stand the bombastic style of the principal actor , Montfleury -LRB- Arthur Blake -RRB- .
14512680	light	stand	can	14	14	12	12	10	10	In episode three he is revealed to have amblyopia and can not stand bright light , in which he cowers and hisses like a vampire .
14544915	Pain	Stand	Ca	29	29	27	27	25	25	In early 1966 the band made a short film Pretty Things on Film ; it featured live footage and a music video prototype for `` Ca not Stand the Pain '' , which also featured their manager , Morrison .
14591293	test	stand	can	7	7	5	5	4	4	I suppose my comments can stand the test of time , especially now .
14728120	narrative	stand	ca	15	15	13	13	11	11	I started to edit Wikipedia and contribute to it because I ca not stand the narrative that is force-fed the public in the mainstream media .
14884905	way	stand	can	5	5	3	3	1	1	It can not stand the way it is now , as there are people in the list which are still alive .
14887476	shade	stand	can	4	4	2	2	1	1	It can stand some shade and some varieties can tolerate mild flooding .
14902885	device	stand	can	9	9	5	5	1	1	It can be a specialized stand alone computer networking device .
14973391	Pain	Stand	Ca	20	20	18	18	16	16	In the end of 2010 , they together made the first single of Sevi - `` Ca not Stand the Pain '' and in February 2011 they also shot the featured video , but the single was released several months later , when Peter Bratanov had already left the band .
15032833	sister	stand	ca	10	10	8	8	6	6	In the OVA series , Rumiya ca not stand his sister and sometimes takes a rebellious attitude towards her when he thinks she ' s going too far .
15035002	way	stand	can	14	14	12	12	10	10	In the parking lot , George tells his wife he can not stand the way she constantly humiliates him , and she tauntingly accuses him of having married her for just that reason .
15468646	light	stand	can	33	33	32	32	30	30	In the manga , Zirconia communicates with Nehelenia and delivers her orders to the Amazoness Quartet , who are able to carry them out during the day -LRB- Zirconia herself can not stand light -RRB- .
15557037	sight	stand	ca	10	10	8	8	6	6	In the second series , she ca not stand the sight of Ty going out with Kelly -LRB- an antagonist in the series who works in the pirate ship -RRB- and teams up with Lo to destroy their relationship .
15931102	world	stand	can	10	10	8	8	6	6	As a police officer , he can not stand the world of superheroes the young girl loves , and he tries unsuccessfully to keep Cassie and Scott apart .
16676938	evaluation	stand	can	26	26	22	22	20	20	Among the main conclusions of their evaluation are that `` the estimates based upon these data are extremely unreliable and can not stand a decent scientific evaluation .
17054282	fathom	stand	ca	10	10	4	4	1	1	I ca not really stand the Colts and ca not fathom myself sitting down to flesh out this era , but would like to add a tag so some Colts fan of the future will know to expound a little .
17057706	man	stand	ca	5	5	3	3	1	1	I ca not stand a man being humiliated , even an enemy .
17057713	animation	stand	ca	5	5	3	3	1	1	I ca not stand Flash-based animation when it ' s too obvious .
17057725	Myself	Stand	Ca	4	4	3	3	1	1	I Ca not Stand Myself -LRB- When You Touch Me -RRB- '' , also known as `` I Ca not Stand It '' , is a song written and recorded by James Brown in 1967 .
17057726	Pt	Stand	Ca	12	12	3	3	1	1	I Ca not Stand Myself -LRB- When You Touch Me -RRB- , Pt .
17057727	Myself	Stand	Ca	4	4	3	3	1	1	I Ca not Stand Myself -LRB- When You Touch Me -RRB- , Pts .
17057728	Myself	Stand	Ca	4	4	3	3	1	1	I Ca not Stand Myself -LRB- When You Touch Me -RRB- '' was included on the 1968 album I Ca not Stand Myself When You Touch Me , where it was labeled `` Pt .
17057729	OOP	stand	ca	4	4	3	3	1	1	I ca not stand OOP and I refuse to code in it .
17057731	care	stand	ca	30	30	3	3	1	1	I ca not stand people who make such low level nonsense and promote it out the wazoo '' -LRB- same link as the last one -RRB- I do not '' care '' about improving the encyclopedia .
17057734	sectarianism	stand	ca	6	6	3	3	1	1	I ca not stand systems and sectarianism .
17057736	idea	stand	ca	5	5	3	3	1	1	I ca not stand the idea that two million people are in imminent danger of starving to death , many of them children , -LSB- and -RSB- not because there is not tons of food sitting in the northern port of Shoa .
17057741	Rain	Stand	Ca	5	5	3	3	1	1	I Ca not Stand the Rain '' is a song originally recorded by Ann Peebles , and written by Peebles , Don Bryant , and Bernard `` Bernie '' Miller .
17057742	Rain	Stand	Ca	5	5	3	3	1	1	I Ca not Stand the Rain '' was also recorded by Grammy Award-winning singer Tina Turner for her 1984 Private Dancer album and released as the sixth single from the album in early 1985 .
17057744	way	stand	ca	5	5	3	3	1	1	I ca not stand the way she broke my heartThanks for any help !
17057745	way	stand	ca	5	5	3	3	1	1	I ca not stand the way she broke my heart '' They are a little faster than in the original version , The song is also kinda faster .
17057749	Love	Stand	Ca	5	5	3	3	1	1	I Ca not Stand this Love , Goodbye '' is the outstanding , opening track on the first Pebbles CD , Pebbles , Volume 1 , released by ESD Records -LRB- not AIP Records -RRB- in 1989 .
17057753	notability	stand	ca	6	6	3	3	1	1	I ca not stand up sufficient notability for a standalone page though the school was involved in the Bridlewood , Ottawa , Electric power transmission controversy .
17057754	vanalism	stand	ca	4	4	3	3	1	1	I ca not stand vanalism and am constantly removing it , Wikipedia is a relied on greatly source and is abismal to have this going on .
17057756	WMP10	stand	ca	4	4	3	3	1	1	I ca not stand WMP10 and 11 for example , and if Vista is similar in terms of Microsoft ' s aim , then I ca not ever see myself using Vista .
17074453	blow	stand	can	5	5	2	2	1	1	I can stand a good blow , and never change colour ; but , set me in the operating-room in the Infirmary , and I turn as sick as a girl .
17074454	Rain	Stand	Can	5	5	2	2	1	1	I Can Stand a Little Rain .
17074458	anything	stand	can	3	3	2	2	1	1	I can stand anything except pain '' .
17074465	gun	stand	can	9	9	2	2	1	1	I can stand in one state , fire a gun in a second state , the bullet will travel through the third , hitting you in the fourth , so you fall dead in the fifth .
17074472	length	stand	can	4	4	2	2	1	1	I can stand the length for a topic this complex , but the lack of detailed inline citations is unacceptable for an article with so many editors .
17086249	proxy	stand	can	21	21	20	20	19	19	I can not find a chart of seasonal insolation , but it is obvious from this temperature graph which can stand proxy for the effect at mid lattitudes that the effect is significant .
17091967	music	stand	can	12	12	3	3	1	1	I can not stand 100 percent behind this TLC project and the music that is supposed to represent me .
17091971	language	stand	can	5	5	3	3	1	1	I can not stand coarse language , insults and rude phrases and will never use them in abritration processes .
17091972	copying	stand	can	4	4	3	3	1	1	I can not stand copying my username and pasting it into a log in box .
17091973	dullness	stand	can	4	4	3	3	1	1	I can not stand dullness for long , and life gets duller and duller as one gets older .
17091975	inane	stand	can	4	4	3	3	1	1	I can not stand inane and unimaginative personal attacks , give me a well-crafted one anytime !
17091976	username	stand	can	6	6	3	3	1	1	I can not stand my own username .
17091981	photograph	stand	can	6	6	3	3	1	1	I can not stand the colorless photograph , and I am trying to do one in a harmony of color , as I see her in my memory .
17091982	trashing	stand	can	5	5	3	3	1	1	I can not stand the trashing of my good faith advisers anymore .
17091983	situation	stand	can	5	5	3	3	1	1	I can not stand this situation any longer and I am resigning from the site .
17091984	user	stand	can	5	5	3	3	1	1	I can not stand this user anymore .
17091988	vandalism	stand	can	4	4	3	3	1	1	I can not stand vandalism and I operate a zero tolerance policy for vandalism .
17120523	companionship	stand	can	21	21	18	18	16	16	I can endure misconstruction , abuse and condemnation , '' Slaton said , `` but I can not stand the constant companionship of an accusing conscience which would remind me that I , as governor of Georgia , failed to do what I thought to be right .
17291145	thought	stand	can	7	7	5	5	3	3	If anyone really can not stand the thought of reading through another post by Treasury Tag or another editor held in similar regard , then it is they who should forego having a presence here ; it is in these places that we earn our salaries .
17301940	sorrow	stand	ca	12	12	8	8	6	6	If he does not drink he ca not stand the suffering and sorrow of life .
17500163	decision	stand	can	22	22	17	17	16	16	If these articles are truly as important as you say they are , then certainly they can stand and pass a consensus decision on notability on their own two legs .
17539316	N	Stand	Can	31	31	20	20	18	18	If It Is not Love , '' `` You ' re Not My Kinda Girl , '' `` Can You Stand the Rain , '' `` Crucial , '' and `` N .
17539317	Rain	Stand	Can	23	23	21	21	19	19	If It Is not Love , '' `` You ' re Not My Kind of Girl , '' `` Can You Stand The Rain , '' `` Crucial '' and `` N .
17607819	criticism	stand	can	18	18	16	16	15	15	If one is confident of Dawkins and the God Delusion logic , surely his logic can stand the criticism !
17775611	ground	stand	can	11	11	9	9	8	8	I am sure that in real life you can stand your ground , present your opinion , and get your thought across to your audience .
17806262	slowness	stand	can	20	20	18	18	16	16	If that is the case , then I am afraid I must protest , as I can not stand the slowness of the regular version .
17834334	temperature	stand	can	7	7	5	5	3	3	If the cactus can not stand a temperature approaching 0 C -LRB- no matter how briefly -RRB- , then it surely can not survive in the said regions .
17851833	face	stand	can	23	23	10	10	9	9	If that ai not enough , and the box can stand a few more ballots , clean off the mustache and vote'em plain face .
17884467	font	stand	ca	10	10	5	5	3	3	I for instance ca not stand the standard size and font of wikipedia and use something rather clearer and more elegant looking .
17944428	boredom	stand	can	22	22	20	20	19	19	I believe this allows a sufficiently advanced civilisation to continue to live their lives for as long as they can stand the boredom .
17945262	scrutiny	stand	can	7	7	5	5	4	4	I believe this election can stand international scrutiny , '' said OAS assistant secretary-general Albert Ramdin , who led a team of international observers who monitored the election .
18080357	improvement	stand	can	15	15	11	11	10	10	I added my two versions , but I think they can stand a lot of improvement .
18437724	power	stand	ca	23	23	11	11	9	9	Apparently there are a few very vocal people who ca not stand the thought of that , as well as the horribly awesome power of ' crats being able to remove the bits they can turn on .
18447196	idea	stand	can	15	15	13	13	11	11	April 12 , 2004 Wieners and Losers The newly unemployed Joan can not stand the idea of just sitting back and relaxing , and drives her friends crazy by constantly cooking and knitting for them .
18649145	weapon	stand	can	29	29	25	25	24	24	A spider hole is typically a shoulder-deep , protective , round hole , often covered by a camouflaged lid , in which a soldier can stand and fire a weapon .
19051390	anyone	stand	can	14	14	13	13	11	11	As matter of fact , many supporters who belong to torcidas can not stand anyone around them criticizing the players , which often results in brawls in the middle of the crowd .
19230819	DC	stand	can	21	21	18	18	17	17	A third strategy is to use small capacitors to couple a modulated high-frequency carrier ; the capacitors can stand off large DC or power frequency AC voltages but provide coupling for the much higher frequency carrier signal .
19232329	bit	stand	ca	34	34	32	32	30	30	A thirty-two bit extension and graphical shell to a sixteen-bit patch to an eight-bit operating system originally coded for a four-bit microprocessor which was written by a two-bit company that ca not stand one bit of competition .
19305798	time	stand	can	11	11	9	9	8	8	I never could understand the notion that God can stand outside time .
19780625	job	stand	can	17	17	15	15	13	13	In her new job Andrea learns that Dario -LRB- Erick Elias -RRB- , can not stand his job .
19834830	Rain	Stand	Can	23	23	20	20	19	19	In January 1975 , he released a second album that had been recorded at the same time as I Can Stand a Little Rain , Jamaica Say You Will .
20033225	life	stand	ca	19	19	18	18	16	16	In interviews , she said about her surgeries `` All this stuff has been because I ca not stand life .
20315612	music	stand	ca	62	62	58	58	56	56	During a seminar in composition , while a recording of Hovhaness ' s first symphony was being played , Aaron Copland talked loudly in Spanish to Latin-American composers in the room ; and at the end of the recording Leonard Bernstein went to the piano , played a melodic minor scale and remarked , `` I ca not stand this cheap ghetto music .
20680281	Heat	Stand	Can	48	48	46	46	44	44	Down 2 Bizniz , Skin On Skin , Fire With Fire , Too Daze Gone , Muscle In Motion , show a Little slip ' Blue Movies , Terri Break The Walls -LRB- 1987 -RRB- , Role The owner least -LRB- 1987 -RRB- , Can You Stand The Heat -LRB- 1988 -RRB- , Terri ' -LRB- 1987 -RRB- , ' Goodbye to Romance -LRB- 1986 -RRB- , ' Open Arms -LRB- 1986 -RRB- , Love ' On The Line -LRB- 1986 -RRB- , ' Loaded gun .
